,Player,S,Team,Points,rush_TD,rec_TD,KR_TD,PR_TD,def_TD,XPM,FGM
188,"Speed, D.",1,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,"Stropko, B.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,"Taylor, G.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,"Teagarden, E.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,"Tebow, T.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,"Tenzini, G.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,"Thomas, A.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,"Thomas, R.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,"Thor, L.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,"Tiernan, L.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,"Tomlinson, A.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,"Tuck, J.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,"Tweed, B.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,"Varga, T.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,"Verns, D.",1,OCO,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,"Watson, S.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,"Wiley, D.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,"Williams, J.",1,AZ,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
206,"Wozy, F.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,"Wright Jr, G.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,"Wright, O.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,"Booter, A.",1,YKW,106.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0
210,"Kicksit, B.",1,COL,84.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0
211,"Laces, K.",1,SJS,91.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0
212,"Nugent, A.",1,AZ,87.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0
213,"Tarkenton, R.",1,OCO,36.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
214,"Turkleton, T.",1,BAL,88.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0
215,"Walsh, B.",1,OCO,63.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0
0,"Adams, R.",10,OCO,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Akselsen, M.",10,SJS,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Applehort, R.",10,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Blocksdale, A.",10,BAL,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Booter, F.",10,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Brown, M.",10,PHI,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"DiMirio, P.",10,NO,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Fitzpatrick, K.",10,AZ,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Gore, B.",10,YKW,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Grau, M.",10,COL,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Harp, D.",10,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Harris Jr., F.",10,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Joyce, S.",10,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Kroetch, D.",10,COL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Lagerfield, E.",10,SJS,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Mackworthy, R.",10,AZ,66.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Maximus III, B.",10,NO,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Noble, L.",10,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Nyquist, W.",10,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"O'Sullivan, C.",10,PHI,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"O'Sullivan, S.",10,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Pennington, B.",10,YKW,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Rainey, R.",10,YKW,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Riddick, D.",10,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Savea, A.",10,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Showbiz, G.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Smallwood, D.",10,NO,90.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Taylor, O.",10,BAL,138.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Winchester, A.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Zephyrous, S.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Aaron, D.",10,COL,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
31,"Adams, R.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Atwell, T.",10,YKW,54.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
33,"Booter, F.",10,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,"Brannigan, Z.",10,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Brown, M.",10,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Browning, B.",10,BAL,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
37,"Broxton, J.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Bush, C.",10,BAL,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
39,"Bush, C.",10,PHI,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,"Chess, C.",10,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,"Chipmunk, A.",10,COL,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
42,"Christmas, C.",10,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Cook, B.",10,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Crindy, B.",10,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,"Crush, C.",10,NO,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
46,"Crush, C.",10,OCO,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
47,"DiMirio, P.",10,NO,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
48,"Flash, X.",10,SJS,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
49,"Garden, J.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Garden, J.",10,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"Gore, B.",10,YKW,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,"Grau, M.",10,COL,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
53,"Harp, D.",10,BAL,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,"Harris Jr., F.",10,YKW,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,"Jackson, M.",10,NO,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
56,"Joyce, S.",10,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"Kennedy, E.",10,YKW,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
58,"King, J.",10,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Kroetch, D.",10,COL,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,"Kronen, R.",10,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"L'Alto, V.",10,BAL,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,"Lagerfield, E.",10,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"Lavelle, D.",10,YKW,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
64,"Law, C.",10,NO,72.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
65,"LeClair, A.",10,NO,66.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
66,"Mackworthy, R.",10,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"McPoyal, G.",10,YKW,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
